Datetime,Store,Predicted_Hourly_Revenue
2023-06-30 20:00:00,Astoria,120.09032076347553
2023-06-30 21:00:00,Astoria,123.00035842955265
2023-06-30 22:00:00,Astoria,117.02724276457562
2023-06-30 23:00:00,Astoria,117.39843032138313
2023-07-01 00:00:00,Astoria,171.79510882146946
2023-07-01 01:00:00,Astoria,164.59752627707914
2023-07-01 02:00:00,Astoria,216.08798836118012
2023-07-01 03:00:00,Astoria,223.99821396189043
2023-07-01 04:00:00,Astoria,245.41567558005795
2023-07-01 05:00:00,Astoria,288.4711895222146
2023-07-01 06:00:00,Astoria,297.8929061915183
2023-07-01 07:00:00,Astoria,316.95356150576293
2023-07-01 08:00:00,Astoria,315.41630943924065
2023-07-01 09:00:00,Astoria,320.35708822750956
2023-07-01 10:00:00,Astoria,329.10410241795284
2023-07-01 11:00:00,Astoria,172.30659907114176
2023-07-01 12:00:00,Astoria,241.38518069739405
2023-07-01 13:00:00,Astoria,195.12581182526299
2023-07-01 14:00:00,Astoria,195.4154665103364
2023-07-01 15:00:00,Astoria,195.4154665103364
2023-07-01 16:00:00,Astoria,198.46840841672224
2023-07-01 17:00:00,Astoria,193.774188268986
2023-07-01 18:00:00,Astoria,187.79602916549362
2023-07-01 19:00:00,Astoria,188.8894346650445
2023-06-30 21:00:00,Hell's Kitchen,44.14968965949042
2023-06-30 22:00:00,Hell's Kitchen,49.295272852515545
2023-06-30 23:00:00,Hell's Kitchen,36.6280065438645
2023-07-01 00:00:00,Hell's Kitchen,70.91300813201806
2023-07-01 01:00:00,Hell's Kitchen,58.23791157606426
2023-07-01 02:00:00,Hell's Kitchen,68.79213349185017
2023-07-01 03:00:00,Hell's Kitchen,110.29897827415994
2023-07-01 04:00:00,Hell's Kitchen,90.20928590006719
2023-07-01 05:00:00,Hell's Kitchen,120.43799527941013
2023-07-01 06:00:00,Hell's Kitchen,151.4705960984255
2023-07-01 07:00:00,Hell's Kitchen,164.064178293702
2023-07-01 08:00:00,Hell's Kitchen,179.22425263944166
2023-07-01 09:00:00,Hell's Kitchen,173.9565338347927
2023-07-01 10:00:00,Hell's Kitchen,191.71357214904523
2023-07-01 11:00:00,Hell's Kitchen,137.07685793255962
2023-07-01 12:00:00,Hell's Kitchen,157.2015041844749
2023-07-01 13:00:00,Hell's Kitchen,167.32226259613824
2023-07-01 14:00:00,Hell's Kitchen,174.12828009257396
2023-07-01 15:00:00,Hell's Kitchen,178.1039672079533
2023-07-01 16:00:00,Hell's Kitchen,183.24289032776653
2023-07-01 17:00:00,Hell's Kitchen,179.10555137630612
2023-07-01 18:00:00,Hell's Kitchen,174.7496933383562
2023-07-01 19:00:00,Hell's Kitchen,176.1859774768381
2023-07-01 20:00:00,Hell's Kitchen,173.01600262915784
2023-06-30 21:00:00,Lower Manhattan,22.14649541589087
2023-06-30 22:00:00,Lower Manhattan,24.55728500029138
2023-06-30 23:00:00,Lower Manhattan,22.947050410675804
2023-07-01 00:00:00,Lower Manhattan,43.79353550240044
2023-07-01 01:00:00,Lower Manhattan,40.4000797602168
2023-07-01 02:00:00,Lower Manhattan,44.8165829520935
2023-07-01 03:00:00,Lower Manhattan,63.03933928582954
2023-07-01 04:00:00,Lower Manhattan,61.81967848962563
2023-07-01 05:00:00,Lower Manhattan,70.65833939146984
2023-07-01 06:00:00,Lower Manhattan,103.98132467192792
2023-07-01 07:00:00,Lower Manhattan,99.96359448124358
2023-07-01 08:00:00,Lower Manhattan,111.34541240878535
2023-07-01 09:00:00,Lower Manhattan,107.45332196725155
2023-07-01 10:00:00,Lower Manhattan,102.81282676348799
2023-07-01 11:00:00,Lower Manhattan,102.59730402613161
2023-07-01 12:00:00,Lower Manhattan,109.06419001360271
2023-07-01 13:00:00,Lower Manhattan,109.88954040909339
2023-07-01 14:00:00,Lower Manhattan,110.11253396758057
2023-07-01 15:00:00,Lower Manhattan,118.46534655863977
2023-07-01 16:00:00,Lower Manhattan,116.84970057795708
2023-07-01 17:00:00,Lower Manhattan,114.06079473177873
2023-07-01 18:00:00,Lower Manhattan,121.32428451058091
2023-07-01 19:00:00,Lower Manhattan,118.34887481190054
2023-07-01 20:00:00,Lower Manhattan,122.1639403621243
