Datetime,Store,Predicted_Hourly_Quantity
2023-06-30 20:00:00,Astoria,36.97927538240032
2023-06-30 21:00:00,Astoria,38.888048295554334
2023-06-30 22:00:00,Astoria,31.01867085409435
2023-06-30 23:00:00,Astoria,35.852638151998924
2023-07-01 00:00:00,Astoria,47.03305094924977
2023-07-01 01:00:00,Astoria,45.55980192496908
2023-07-01 02:00:00,Astoria,49.887153255162616
2023-07-01 03:00:00,Astoria,55.69844116126487
2023-07-01 04:00:00,Astoria,55.859832543989356
2023-07-01 05:00:00,Astoria,64.2870683813786
2023-07-01 06:00:00,Astoria,68.49519075307126
2023-07-01 07:00:00,Astoria,76.32169473404741
2023-07-01 08:00:00,Astoria,79.75971978675881
2023-07-01 09:00:00,Astoria,76.77019254664948
2023-07-01 10:00:00,Astoria,81.26333273585293
2023-07-01 11:00:00,Astoria,56.44883871289792
2023-07-01 12:00:00,Astoria,66.09725006680813
2023-07-01 13:00:00,Astoria,64.48911376631888
2023-07-01 14:00:00,Astoria,60.479217742215106
2023-07-01 15:00:00,Astoria,60.91809904025713
2023-07-01 16:00:00,Astoria,60.68702775720159
2023-07-01 17:00:00,Astoria,61.787396147453464
2023-07-01 18:00:00,Astoria,61.05284749184091
2023-07-01 19:00:00,Astoria,61.73379473049905
2023-06-30 21:00:00,Hell's Kitchen,11.735096065042807
2023-06-30 22:00:00,Hell's Kitchen,13.625742711991627
2023-06-30 23:00:00,Hell's Kitchen,10.67341420828897
2023-07-01 00:00:00,Hell's Kitchen,16.274179854473225
2023-07-01 01:00:00,Hell's Kitchen,14.938242664155553
2023-07-01 02:00:00,Hell's Kitchen,15.149105015320345
2023-07-01 03:00:00,Hell's Kitchen,17.18758557641206
2023-07-01 04:00:00,Hell's Kitchen,16.594006270177964
2023-07-01 05:00:00,Hell's Kitchen,17.32984682641928
2023-07-01 06:00:00,Hell's Kitchen,17.32984682641928
2023-07-01 07:00:00,Hell's Kitchen,23.106215788059558
2023-07-01 08:00:00,Hell's Kitchen,25.25029505031908
2023-07-01 09:00:00,Hell's Kitchen,23.485157554212407
2023-07-01 10:00:00,Hell's Kitchen,26.08312638806641
2023-07-01 11:00:00,Hell's Kitchen,25.946358498521366
2023-07-01 12:00:00,Hell's Kitchen,27.143911235634654
2023-07-01 13:00:00,Hell's Kitchen,26.00866558351767
2023-07-01 14:00:00,Hell's Kitchen,26.839898050592666
2023-07-01 15:00:00,Hell's Kitchen,26.293945914097367
2023-07-01 16:00:00,Hell's Kitchen,26.839898050592666
2023-07-01 17:00:00,Hell's Kitchen,26.293945914097367
2023-07-01 18:00:00,Hell's Kitchen,26.037962746771317
2023-07-01 19:00:00,Hell's Kitchen,26.51065702865334
2023-07-01 20:00:00,Hell's Kitchen,25.49201061027602
2023-06-30 21:00:00,Lower Manhattan,7.011649228567234
2023-06-30 22:00:00,Lower Manhattan,7.097673348763362
2023-06-30 23:00:00,Lower Manhattan,7.097673348763362
2023-07-01 00:00:00,Lower Manhattan,12.455761646140605
2023-07-01 01:00:00,Lower Manhattan,12.128746818589851
2023-07-01 02:00:00,Lower Manhattan,13.275018494356791
2023-07-01 03:00:00,Lower Manhattan,16.763659534370504
2023-07-01 04:00:00,Lower Manhattan,14.670320760771771
2023-07-01 05:00:00,Lower Manhattan,17.310195552272205
2023-07-01 06:00:00,Lower Manhattan,16.982651307805448
2023-07-01 07:00:00,Lower Manhattan,22.881630245305868
2023-07-01 08:00:00,Lower Manhattan,24.228526487581938
2023-07-01 09:00:00,Lower Manhattan,22.531526338155892
2023-07-01 10:00:00,Lower Manhattan,25.319406543829768
2023-07-01 11:00:00,Lower Manhattan,24.876414839198866
2023-07-01 12:00:00,Lower Manhattan,25.849382033558463
2023-07-01 13:00:00,Lower Manhattan,25.59105634051058
2023-07-01 14:00:00,Lower Manhattan,25.64636058314539
2023-07-01 15:00:00,Lower Manhattan,25.64636058314539
2023-07-01 16:00:00,Lower Manhattan,25.64636058314539
2023-07-01 17:00:00,Lower Manhattan,25.510688838164317
2023-07-01 18:00:00,Lower Manhattan,24.844425279324042
2023-07-01 19:00:00,Lower Manhattan,24.971138026166763
2023-07-01 20:00:00,Lower Manhattan,24.971138026166763
